# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
-1.000000000000000000e+00 1.547272706262458293e-38 3.158663213253021240e-02 0.000000000000000000e+00 5.005677795410156250e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.296319051049323434e-10 0.000000000000000000e+00 -4.979389392363760913e-21 -2.035374790430068970e-01 5.696914370805170323e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.094545412524916585e-38 0.000000000000000000e+00 0.000000000000000000e+00 -1.595878611689824925e-22
-9.999917745590209961e-01 2.135464960417721159e-08 3.153886646032333374e-02 -8.726321425456262659e-07 5.005640029907226562e+01 7.515641482314094901e-05 -5.441285200191714466e-09 1.393772618030197918e-05 -7.490488229677794152e-09 1.162926309916656464e-06 -2.034052461385726929e-01 -7.813571755832526833e-06 2.973059132216349099e-08 -1.418568821437427019e-12 -9.827367392079011665e-11 -1.418568821437427019e-12 1.806522011992581049e-15 1.340570585312353402e-14 -9.827367392079011665e-11 1.340570585312353402e-14 1.297870699801251249e-08 4.117373900953680277e-04 5.740551090038792381e-11 -1.673641349952958990e-06
-9.999834895133972168e-01 8.597324807624318055e-08 3.149117529392242432e-02 -1.720662567095132545e-06 5.005603408813476562e+01 1.508408022345975041e-04 -2.189451642209405691e-08 2.789515565382316709e-05 -3.011787086393269419e-08 2.318972974535427056e-06 -2.032725661993026733e-01 -1.567536310176365077e-05 1.197619639015101711e-07 -1.148133237788284688e-11 -3.959517436147308445e-10 -1.148133237788284688e-11 2.924829161417979995e-14 1.086085770472290657e-13 -3.959517436147308445e-10 1.086085770472290657e-13 5.218450738198043837e-08 8.264556527137756348e-04 2.307280339008954684e-10 -3.358313051649020053e-06
-9.999642372131347656e-01 4.026633746434526984e-07 3.138189762830734253e-02 -3.573504045562003739e-06 5.005520248413085938e+01 3.266466374043375254e-04 -1.024125069193360105e-07 6.002048030495643616e-05 -1.407008340947868419e-07 4.946593890053918585e-06 -2.029655575752258301e-01 -3.391379868844524026e-05 5.616479938908014446e-07 -1.169115776411544516e-10 -1.857803355598264261e-09 -1.169115776411544516e-10 6.400201007193684344e-13 1.107899362529085607e-12 -1.857803355598264261e-09 1.107899362529085607e-12 2.436781301184964832e-07 1.790141803212463856e-03 1.077616884614940318e-09 -7.268819445016561076e-06
-9.999449849128723145e-01 9.510434892945340835e-07 3.127476572990417480e-02 -5.265086656436324120e-06 5.005434799194335938e+01 5.023113335482776165e-04 -2.415681592538021505e-07 9.171691635856404901e-05 -3.314947605304041645e-07 7.492436907341470942e-06 -2.026606947183609009e-01 -5.210888048168271780e-05 1.328270968770084437e-06 -4.263222275202593892e-10 -4.395831254555560008e-09 -4.263222275202593892e-10 3.561622568051814319e-12 4.046475828023421428e-12 -4.395831254555560008e-09 4.046475828023421428e-12 5.738124286835954990e-07 2.753544365987181664e-03 2.538609100710687017e-09 -1.117235296987928450e-05
-9.999120235443115234e-01 2.425307002340559848e-06 3.109601326286792755e-02 -7.801621904945932329e-06 5.005286788940429688e+01 8.029746240936219692e-04 -6.146227633507805876e-07 1.450665877200663090e-04 -8.418504080509592313e-07 1.166862875834340230e-05 -2.021429091691970825e-01 -8.319914923049509525e-05 3.394799705347395502e-06 -1.749799860562006870e-09 -1.124491877391164962e-08 -1.749799860562006870e-09 2.306551998010331062e-11 1.664836844772477065e-11 -1.124491877391164962e-08 1.664836844772477065e-11 1.455791220905666705e-06 4.403645638376474380e-03 6.447461231573470286e-09 -1.784485357347875834e-05
-9.998791217803955078e-01 4.565206381812458858e-06 3.092326596379280090e-02 -9.902326382871251553e-06 5.005135726928710938e+01 1.102762646041810513e-03 -1.154176629825087730e-06 1.971909514395520091e-04 -1.577576881572895218e-06 1.560995042382273823e-05 -2.016313076019287109e-01 -1.141577376984059811e-04 6.404154646588722244e-06 -4.553394106210362224e-09 -2.123319653435373766e-08 -4.553394106210362224e-09 8.136822465809601113e-11 4.342929141309959107e-11 -2.123319653435373766e-08 4.342929141309959107e-11 2.726176489886711352e-06 6.050447467714548111e-03 1.207822108995060262e-08 -2.448728082526940852e-05
-9.998298287391662598e-01 9.008672350319102407e-06 3.067452274262905121e-02 -1.228611017722869292e-05 5.004901504516601562e+01 1.551343244500458241e-03 -2.269330707349581644e-06 2.733026340138167143e-04 -3.093486157013103366e-06 2.109910747094545513e-05 -2.008743435144424438e-01 -1.604471763130277395e-04 1.267882635147543624e-05 -1.276674854722159580e-08 -4.209895720919121231e-08 -1.276674854722159580e-08 3.148159788413096294e-10 1.220973461224517109e-10 -4.209895720919121231e-08 1.220973461224517109e-10 5.338202754501253366e-06 8.517573587596416473e-03 2.369402274382537144e-08 -3.440758518991060555e-05
-9.997805356979370117e-01 1.492008959758095443e-05 3.043719939887523651e-02 -1.383705148327862844e-05 5.004653930664062500e+01 1.999228028580546379e-03 -3.744078867384814657e-06 3.472569223958998919e-04 -5.089408205094514415e-06 2.610438423289451748e-05 -2.001283019781112671e-01 -2.067034947685897350e-04 2.106662577716633677e-05 -2.751420247193436808e-08 -7.006079982829760411e-08 -2.751420247193436808e-08 8.577380472551965340e-10 2.637777218872372487e-10 -7.006079982829760411e-08 2.637777218872372487e-10 8.772693945502396673e-06 1.098458468914031982e-02 3.898679423741668870e-08 -4.429087857715785503e-05
-9.997121095657348633e-01 2.552612204453907907e-05 3.012536466121673584e-02 -1.473018801334546879e-05 5.004283523559570312e+01 2.619718899950385094e-03 -6.370442861225455999e-06 4.466670507099479437e-04 -8.628182513348292559e-06 3.227335764677263796e-05 -1.991100758314132690e-01 -2.709693508222699165e-04 3.620234565460123122e-05 -6.250854056588650565e-08 -1.206758923899542424e-07 -6.250854056588650565e-08 2.487065886569439499e-09 6.006191100027535867e-10 -1.206758923899542424e-07 6.006191100027535867e-10 1.484740914747817442e-05 1.440894883126020432e-02 6.615668013409958803e-08 -5.794995013275183737e-05
