# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 1.067732480208860579e-08 3.156274929642677307e-02 -4.363160712728131330e-07 5.005658912658691406e+01 3.757820741157047451e-05 -2.720642600095857233e-09 6.969027906103541211e-06 -3.745244114838897076e-09 5.814631549583257969e-07 -2.034713625907897949e-01 -3.906785877916234617e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.094545412524916585e-38 2.058686950476839867e-04 2.870275545019396191e-11 -8.368206749764796008e-07
8.230094367928103213e-03 3.577596589347346184e-08 3.153889129559198784e-02 -8.644315698802529369e-07 5.005640411376953125e+01 7.533240568591281772e-05 -9.111933874095257124e-09 1.394440382201008260e-05 -1.253611969787016278e-08 1.160633094817359409e-06 -2.034050971269607544e-01 -7.829644952532040003e-06 2.973059132216349099e-08 -1.418568821437427019e-12 -9.827367392079011665e-11 -1.418568821437427019e-12 1.806522011992581049e-15 1.340570585312353402e-14 -9.827367392079011665e-11 1.340570585312353402e-14 1.297870699801251249e-08 4.127310142697145361e-04 9.604451493376112211e-11 -1.677318133867326418e-06
1.651982710084119385e-02 1.699970907746243547e-07 3.147064646085102890e-02 -2.055599585067587234e-06 5.005587895711262547e+01 1.842146181540253171e-04 -4.324943618054059174e-08 3.395112071302719414e-05 -5.943639772946577454e-08 2.809497724835333894e-06 -2.032144566377003803e-01 -1.913424451534713816e-05 1.197619639015101711e-07 -1.148133237788284688e-11 -3.959517436147308445e-10 -1.148133237788284688e-11 2.924829161417979995e-14 1.086085770472290657e-13 -3.959517436147308445e-10 1.086085770472290657e-13 5.218450738198043837e-08 1.009444948673869028e-03 4.552501431387412367e-10 -4.100257948872846142e-06
3.578301899099175370e-02 4.798933706714100227e-07 3.138261288404464722e-02 -3.519751089697820134e-06 5.005519485473632102e+01 3.265995910624042153e-04 -1.219583941984107305e-07 5.987751743911454171e-05 -1.674378218297079002e-07 4.919334590643605245e-06 -2.029662728309631348e-01 -3.389934742396386735e-05 5.616479938908014446e-07 -1.169115776411544516e-10 -1.857803355598264261e-09 -1.169115776411544516e-10 6.400201007193684344e-13 1.107899362529085607e-12 -1.857803355598264261e-09 1.107899362529085607e-12 2.436781301184964832e-07 1.790047273971140385e-03 1.282318006408840865e-09 -7.266495155514954646e-06
5.504621088114231703e-02 1.259671288759515402e-06 3.125089220702648163e-02 -5.546737535648086164e-06 5.005413945515950047e+01 5.439775316820789648e-04 -3.195344765079728986e-07 9.893466146119558901e-05 -4.380153342253834126e-07 8.035886518579596710e-06 -2.025897204875946045e-01 -5.640727613354101099e-05 1.328270968770084437e-06 -4.263222275202593892e-10 -4.395831254555560008e-09 -4.263222275202593892e-10 3.561622568051814319e-12 4.046475828023421428e-12 -4.395831254555560008e-09 4.046475828023421428e-12 5.738124286835954990e-07 2.982443935858706489e-03 3.354562405633032540e-09 -1.209534199612486741e-05
8.802622671783971731e-02 2.647185624482517596e-06 3.109801498552163326e-02 -7.656344981417834871e-06 5.005285771687825047e+01 8.026828678945699966e-04 -6.701225174765568227e-07 1.446581518393941224e-04 -9.169740167180862045e-07 1.159033869650253490e-05 -2.021449704964955463e-01 -8.315525580352792234e-05 3.394799705347395502e-06 -1.749799860562006870e-09 -1.124491877391164962e-08 -1.749799860562006870e-09 2.306551998010331062e-11 1.664836844772477065e-11 -1.124491877391164962e-08 1.664836844772477065e-11 1.455791220905666705e-06 4.402545824026067763e-03 7.021430474078252755e-09 -1.783482912287581712e-05
1.209466041895521232e-01 5.333061911490706755e-06 3.089793398976325642e-02 -9.996686155015291702e-06 5.005108006795246922e+01 1.152360171545296907e-03 -1.346043366841816583e-06 2.051867243911449927e-04 -1.837637815545652323e-06 1.612589555103719629e-05 -2.015495200951893939e-01 -1.192680210806429386e-04 6.404154646588722244e-06 -4.553394106210362224e-09 -2.123319653435373766e-08 -4.553394106210362224e-09 8.136822465809601113e-11 4.342929141309959107e-11 -2.123319653435373766e-08 4.342929141309959107e-11 2.726176489886711352e-06 6.323888897895812988e-03 1.407323502178314811e-08 -2.557990652955292188e-05
1.702675320321357655e-01 9.497989443237504103e-06 3.067832936843236172e-02 -1.200849601445952430e-05 5.004897054036457860e+01 1.551111306374271638e-03 -2.389195401519828010e-06 2.725835026164228356e-04 -3.253490414560170435e-06 2.093781404255423695e-05 -2.008779843648274555e-01 -1.604361362600078005e-04 1.267882635147543624e-05 -1.276674854722159580e-08 -4.209895720919121231e-08 -1.276674854722159580e-08 3.148159788413096294e-10 1.220973461224517109e-10 -4.209895720919121231e-08 1.220973461224517109e-10 5.338202754501253366e-06 8.517535248150426980e-03 2.491967935706421871e-08 -3.439524819744595185e-05
2.195884598747193939e-01 1.648496133081304304e-05 3.041236226757367336e-02 -1.361778322461759672e-05 5.004612986246744555e+01 2.056763391010463238e-03 -4.127950811986616869e-06 3.557422023732215166e-04 -5.603692291818636498e-06 2.649228311687086568e-05 -2.000375737746556415e-01 -2.127066739679624456e-04 2.106662577716633677e-05 -2.751420247193436808e-08 -7.006079982829760411e-08 -2.751420247193436808e-08 8.577380472551965340e-10 2.637777218872372487e-10 -7.006079982829760411e-08 2.637777218872372487e-10 8.772693945502396673e-06 1.130370236933231354e-02 4.294583237178054718e-08 -4.554947129994009480e-05
2.880533028774835969e-01 2.644253133136468403e-05 3.013166971504688263e-02 -1.429401133160960494e-05 5.004268519083658617e+01 2.619200541327396884e-03 -6.587612385070920978e-06 4.455483867786824703e-04 -8.913961967967527100e-06 3.198128312457507871e-05 -1.991165181001027240e-01 -2.710375799021372831e-04 3.620234565460123122e-05 -6.250854056588650565e-08 -1.206758923899542424e-07 -6.250854056588650565e-08 2.487065886569439499e-09 6.006191100027535867e-10 -1.206758923899542424e-07 6.006191100027535867e-10 1.484740914747817442e-05 1.440886128693819046e-02 6.839256035580849901e-08 -5.792693870413737767e-05
3.565181458802478276e-01 4.167760804800006025e-05 2.981008589267730713e-02 -1.369575814654429641e-05 5.003793589274087594e+01 3.303561437254150419e-03 -1.031553195692443486e-05 5.514663159071157015e-04 -1.390688188015095156e-05 3.769970135181210935e-05 -1.980144381523132324e-01 -3.424774816570182461e-04 5.538538607652299106e-05 -1.192583596321128425e-07 -1.850662556535098702e-07 -1.192583596321128425e-07 5.715526274485682734e-09 1.147203443352395880e-09 -1.850662556535098702e-07 1.147203443352395880e-09 2.237166336271911860e-05 1.819676936914523327e-02 1.069391591575670904e-07 -7.294971752950610310e-05
4.468106304675170115e-01 6.215689548601706371e-05 2.948155626654624939e-02 -1.152632466983049939e-05 5.003190104166666430e+01 4.051068021605411587e-03 -1.527086351416073740e-05 6.636923062615096569e-04 -2.050915948833183583e-05 4.279574689765770778e-05 -1.968324432770411081e-01 -4.213431384414434433e-04 8.685089414939284325e-05 -2.366310098977919552e-07 -2.911639001013099914e-07 -2.366310098977919552e-07 1.371971070085464817e-08 2.276494992514699334e-09 -2.911639001013099914e-07 2.276494992514699334e-09 3.438602288952097297e-05 2.234709697465101647e-02 1.581848678711139655e-07 -8.931706785612428278e-05
5.370434766898012358e-01 9.152824228901104719e-05 2.912091463804244995e-02 -7.232847868484288566e-06 5.002331542968750000e+01 4.934001403550306378e-03 -2.228217545052757487e-05 7.925156581526000572e-04 -2.979874322287893318e-05 4.731182464941714749e-05 -1.954634288946787424e-01 -5.159913853276520967e-04 1.252805377589538693e-04 -4.139859868246276164e-07 -4.214673197111551417e-07 -4.139859868246276164e-07 2.785709796171431663e-08 3.978484652833458313e-09 -4.214673197111551417e-07 3.978484652833458313e-09 4.861958223045803607e-05 2.726910697917143273e-02 2.309364883027834620e-07 -1.086039798489461252e-04
6.518473292858998347e-01 1.293773360278767663e-04 2.876157251497109615e-02 -9.650692239423128636e-07 5.001194508870442235e+01 5.885311091939607678e-03 -3.117485357506666332e-05 9.281170593264201915e-04 -4.151195692732774511e-05 5.044267406143868737e-05 -1.940179268519083566e-01 -6.202500662766396999e-04 1.842228957684710622e-04 -7.469991487596416846e-07 -6.225028528206166811e-07 -7.469991487596416846e-07 5.841046402110805502e-08 7.155936732061718430e-09 -6.225028528206166811e-07 7.155936732061718430e-09 6.970954564167186618e-05 3.259858737389246391e-02 3.237278889400840853e-07 -1.293420815879168519e-04
