# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 1.551403173615902123e-38 3.157010301947593689e-02 0.000000000000000000e+00 5.001056289672851562e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.569220002359486443e-12 0.000000000000000000e+00 -3.868561762300337699e-21 -1.381963938474655151e-01 3.407493954582050996e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.102806347231804247e-38 0.000000000000000000e+00 0.000000000000000000e+00 -1.812214059289207507e-22
8.226309902966022491e-03 2.134347809601422341e-08 3.152237460017204285e-02 1.731415181893680710e-06 5.001020812988281250e+01 4.679937774199061096e-05 -5.205668784924455395e-09 9.907306775858160108e-06 -7.332859652819934126e-09 1.940051333804149181e-06 -1.381241381168365479e-01 -9.417173714609816670e-06 2.971664514461735962e-08 -1.440994784433768938e-12 -7.118213657397731708e-11 -1.440994784433768938e-12 1.797894134391848746e-15 1.562544547689583702e-14 -7.118213657397731708e-11 1.562544547689583702e-14 1.297031104741108720e-08 4.113574104849249125e-04 4.081415413970113093e-11 -1.136428977588366251e-06
1.651223190128803253e-02 8.592828493192428141e-08 3.147472441196441650e-02 3.497367515592486598e-06 5.000986862182617188e+01 9.392810170538723469e-05 -2.093991291474139871e-08 1.982114190468564630e-05 -2.947371235961782077e-08 3.884708348778076470e-06 -1.380516439676284790e-01 -1.888115184556227177e-05 1.197060441882058512e-07 -1.166239067124097417e-11 -2.867708015497072438e-10 -1.166239067124097417e-11 2.910909360775981725e-14 1.262274247799954896e-13 -2.867708015497072438e-10 1.262274247799954896e-13 5.215049370121960237e-08 8.256930741481482983e-04 1.639861718638613297e-10 -2.280493163198116235e-06
3.576656430959701538e-02 4.024529403068299871e-07 3.136552870273590088e-02 7.684288902964908630e-06 5.000903320312500000e+01 2.034037170233204961e-04 -9.788086430262410431e-08 4.261044887243770063e-05 -1.375897511479706736e-07 8.367052032554056495e-06 -1.378842145204544067e-01 -4.079201971762813628e-05 5.613887310573772993e-07 -1.187442782990544288e-10 -1.345225375537495438e-09 -1.187442782990544288e-10 6.369969655917184781e-13 1.278842916979661126e-12 -1.345225375537495438e-09 1.278842916979661126e-12 2.435165242786752060e-07 1.788489869795739651e-03 7.654383238353545948e-10 -4.936690402246313170e-06
5.502090230584144592e-02 9.505471325610415079e-07 3.125848248600959778e-02 1.198296376969665289e-05 5.000820541381835938e+01 3.127915842924267054e-04 -2.307241828702899511e-07 6.505622877739369869e-05 -3.239294699142192258e-07 1.279719072044827044e-05 -1.377183198928833008e-01 -6.258745997911319137e-05 1.327664904238190502e-06 -4.329654412771333227e-10 -3.182257124478837795e-09 -4.329654412771333227e-10 3.544925420914668557e-12 4.639412118367935989e-12 -3.182257124478837795e-09 4.639412118367935989e-12 5.734258934353420045e-07 2.751005114987492561e-03 1.802173632547976467e-09 -7.588946118630701676e-06
8.798575401306152344e-02 2.424042804705095477e-06 3.107985481619834900e-02 1.959671863005496562e-05 5.000674057006835938e+01 5.000106175430119038e-04 -5.863678893547330517e-07 1.027486505336128175e-04 -8.216517812797974329e-07 2.026757101702969521e-05 -1.374375969171524048e-01 -9.967791265808045864e-05 3.393280167074408382e-06 -1.776785940599268088e-09 -8.137061691115832218e-09 -1.776785940599268088e-09 2.295875121960389009e-11 1.887217292162457483e-11 -8.137061691115832218e-09 1.887217292162457483e-11 1.454782363907725085e-06 4.399583209306001663e-03 4.573088130399582951e-09 -1.212441839015809819e-05
1.208909898996353149e-01 4.562829417409375310e-06 3.090723417699337006e-02 2.748908991634380072e-05 5.000527572631835938e+01 6.866678013466298580e-04 -1.099810447158233728e-06 1.394753780914470553e-04 -1.537694629405450542e-06 2.757496258709579706e-05 -1.371613591909408569e-01 -1.364146883133798838e-04 6.401340669981436804e-06 -4.622921156993697878e-09 -1.535799221130673686e-08 -4.622921156993697878e-09 8.099661913396616342e-11 4.870642431042959686e-11 -1.535799221130673686e-08 4.870642431042959686e-11 2.724236992435180582e-06 6.044870708137750626e-03 8.557912600792860758e-09 -1.664180854277219623e-05
1.701892465353012085e-01 9.003989362099673599e-06 3.065866231918334961e-02 3.982185080531053245e-05 5.000297164916992188e+01 9.659125935286283493e-04 -2.158725465051247738e-06 1.929308782564476132e-04 -3.009833335454459302e-06 3.824674058705568314e-05 -1.367549300193786621e-01 -1.909636630443856120e-04 1.267340849153697491e-05 -1.295873364171029607e-08 -3.042848817358390079e-08 -1.295873364171029607e-08 3.134059400888844493e-10 1.347936623430356917e-10 -3.042848817358390079e-08 1.347936623430356917e-10 5.334256911737611517e-06 8.509724400937557220e-03 1.676706062880839454e-08 -2.339284219488035887e-05
2.194874882698059082e-01 1.491234070272184908e-05 3.042148612439632416e-02 5.268437962513417006e-05 5.000051498413085938e+01 1.244627172127366066e-03 -3.555292096280027181e-06 2.447045117150992155e-04 -4.942163741361582652e-06 4.858530519413761795e-05 -1.363567709922790527e-01 -2.450033789500594139e-04 2.105786006723064929e-05 -2.792184083943993755e-08 -5.060054775185562903e-08 -2.792184083943993755e-08 8.539752793801369535e-10 2.869597615084984454e-10 -5.060054775185562903e-08 2.869597615084984454e-10 8.765967322688084096e-06 1.097446773201227188e-02 2.755080430461021024e-08 -3.012408524227794260e-05
2.879208624362945557e-01 2.551290162955410779e-05 3.010981343686580658e-02 7.130123412935063243e-05 4.999680709838867188e+01 1.630525453947484493e-03 -6.034490070305764675e-06 3.140685730613768101e-04 -8.356787475349847227e-06 6.238793866941705346e-05 -1.358175277709960938e-01 -3.192757430952042341e-04 3.618785194703377783e-05 -6.341556968436634634e-08 -8.705796972208190709e-08 -6.341556968436634634e-08 2.476465477130318504e-09 6.408460428986018087e-10 -8.705796972208190709e-08 6.408460428986018087e-10 1.483547293901210651e-05 1.439568772912025452e-02 4.667210973252622352e-08 -3.943593401345424354e-05
