y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
2.021587241307347903e-14 4.939437735206429414e-06 1.776632001621044343e-01 0.000000000000000000e+00 9.999710421313424691e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.589292246274055017e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.862807365832878170e-34 5.272636732103704732e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.054557883895367032e-02 4.821550096304975518e-05 1.774101313863892249e-01 0.000000000000000000e+00 9.999093110173518095e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.523861648546785067e-05 -8.884807685445174312e-10 0.000000000000000000e+00 -8.884807685445174312e-10 9.921444054028654427e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.519133463213460360e-06 1.650892458440392577e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.898567424427083761e-02 3.011509544185938278e-04 1.767309353967018715e-01 0.000000000000000000e+00 9.997394708354163662e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.081908423874389896e-04 -4.496609804658739964e-08 0.000000000000000000e+00 -4.496609804658739964e-08 1.838486077114267097e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.134422860142614683e-05 4.738911579022327819e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.266416643727821978e-02 1.235844092041142768e-03 1.755512217883850590e-01 0.000000000000000000e+00 9.994297634442879108e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.175434591648847910e-03 -6.057419558524182976e-07 0.000000000000000000e+00 -6.057419558524182976e-07 5.780802944012516667e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.421723482814727972e-04 1.034839251931167770e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.789178025409327022e-01 3.897773171609149843e-03 1.738111700200817844e-01 0.000000000000000000e+00 9.989353140821718435e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.377914073883619819e-03 -4.382441321219609419e-06 0.000000000000000000e+00 -4.382441321219609419e-06 7.844260359894234279e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.249924060188901953e-03 1.920957172305399474e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.050741230036028151e-01 1.023793795845710265e-02 1.715215475872268192e-01 0.000000000000000000e+00 9.982007279998770244e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.271217376573404931e-02 -2.188401568386097115e-05 0.000000000000000000e+00 -2.188401568386097115e-05 6.403494903955966691e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.528295617021075161e-03 3.204857238983113144e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.784493906250171791e-01 2.349691602495417031e-02 1.687639485628807390e-01 0.000000000000000000e+00 9.971438650186219554e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.121804571121234925e-02 -8.522579081274766826e-05 0.000000000000000000e+00 -8.522579081274766826e-05 3.693668151353023086e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.336862062457270697e-03 4.958516981417303571e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.063465227694476489e-01 4.804245993282300897e-02 1.657019264272837078e-01 0.000000000000000000e+00 9.956506661928108404e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.791548146777155737e-02 -2.774244412459999894e-04 0.000000000000000000e+00 -2.774244412459999894e-04 1.648997817997887132e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.724981352970699974e-02 7.217972627444930733e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.855074485118558991e-01 8.927244333112339947e-02 1.624927821874339318e-01 0.000000000000000000e+00 9.935329536335579803e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.319161704504517030e-01 -7.627739716400079367e-04 0.000000000000000000e+00 -7.627739716400079367e-04 5.795691676026455008e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.154024581224654927e-02 9.993599799290977526e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.315853268928576902e+00 1.532313600365771411e-01 1.592160108745447888e-01 0.000000000000000000e+00 9.904854461645624664e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.344859287599062869e-01 -1.836236682518294040e-03 0.000000000000000000e+00 -1.836236682518294040e-03 1.687048527313747049e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.228386821898568793e-02 1.326952379988116659e+00 0.000000000000000000e+00 0.000000000000000000e+00
