# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 4.207085585190174501e-07 2.315664484411366075e-01 0.000000000000000000e+00 9.999975199644817181e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.458396928712246980e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.948178917405794954e-34 1.347881815088236481e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.695770315769523053e-03 7.285422026351754799e-06 2.314019033123884406e-01 0.000000000000000000e+00 9.999900792189713172e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.189616701975901948e-06 -1.910620852615976900e-11 0.000000000000000000e+00 -1.910620852615976900e-11 7.394295099260747760e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.932175247058725080e-07 5.391420289915247258e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.347866438236127937e-02 6.208535413221969606e-05 2.308956457437333076e-01 0.000000000000000000e+00 9.999669156948278737e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.973259640193555097e-05 -2.390467144677507836e-09 0.000000000000000000e+00 -2.390467144677507836e-09 4.606104124225703099e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.229709691599479054e-05 1.797080805128612596e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.773947405876450223e-02 3.124863011935220033e-04 2.298693508607166369e-01 0.000000000000000000e+00 9.999187990445961294e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.329724656093623092e-04 -5.258512422043052130e-08 0.000000000000000000e+00 -5.258512422043052130e-08 2.810218960038762056e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.582684600394941775e-05 4.402622969924996355e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.086805528724719250e-02 1.143189893966324328e-03 2.281619587625260404e-01 0.000000000000000000e+00 9.998350699273980124e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.068751209655581036e-03 -5.193396427564130897e-07 0.000000000000000000e+00 -5.193396427564130897e-07 5.847957200343075717e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.353314589891092083e-04 8.894426900058173546e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.482529538173228134e-01 3.363165325787881473e-03 2.256699045451593943e-01 0.000000000000000000e+00 9.997029056330319907e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.587132920736241844e-03 -3.218549197820581197e-06 0.000000000000000000e+00 -3.218549197820581197e-06 6.472733078532985331e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.439053606493820043e-03 1.581064768500609619e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.452810310211923084e-01 8.439804220056551509e-03 2.223663670156317829e-01 0.000000000000000000e+00 9.995032363862987879e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.801307697485444823e-03 -1.469549368400434074e-05 0.000000000000000000e+00 -1.469549368400434074e-05 4.710549019343354850e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.846873431177177081e-03 2.568861458130445863e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.773370898258245898e-01 1.865783587944717589e-02 2.183329064477745329e-01 0.000000000000000000e+00 9.992040661193877238e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.314367894241368961e-02 -5.407364593551074265e-05 0.000000000000000000e+00 -5.407364593551074265e-05 2.536206868285839201e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.817706732931937172e-03 3.897451827178659567e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.471077304725138202e-01 3.710037301550179328e-02 2.137547741842606985e-01 0.000000000000000000e+00 9.987486229376547620e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.852522387918291324e-02 -1.669253630077874090e-04 0.000000000000000000e+00 -1.669253630077874090e-04 1.065722603350748973e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.779856010568817842e-02 5.593284042824115954e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.545811639572239660e-01 6.753049071736430542e-02 2.088619862526693849e-01 0.000000000000000000e+00 9.980359364638970998e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.203141703868521206e-02 -4.440630580106026898e-04 0.000000000000000000e+00 -4.440630580106026898e-04 3.627450358264673868e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.223618345762439136e-02 7.664496830962694851e-01 0.000000000000000000e+00 0.000000000000000000e+00
