# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
0.000000000000000000e+00 8.435645000000000966e-28 -2.314799999999999913e-01 0.000000000000000000e+00 5.871900000000000546e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.764500000000000068e-01 0.000000000000000000e+00 7.800300000000000014e-28 -3.410999999999999826e-32 -2.061399999999999861e-30 -3.410999999999999826e-32 5.417900000000000533e-29 -1.252100000000000093e-31 -2.061399999999999861e-30 -1.252100000000000093e-31 8.529200000000000408e-28
4.421499999999999736e-02 2.259352623699999911e-04 -2.301799999999999957e-01 0.000000000000000000e+00 5.875900000000000318e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.776599999999999957e-01 0.000000000000000000e+00 3.206099999999999814e-04 -8.364300000000000326e-08 -3.664899999999999948e-07 -8.364300000000000326e-08 5.247399999999999891e-10 -1.275799999999999875e-10 -3.664899999999999948e-07 -1.275799999999999875e-10 1.312599999999999867e-04
1.768500000000000072e-01 3.571714469999999995e-03 -2.252399999999999958e-01 0.000000000000000000e+00 5.877500000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.795100000000000140e-01 0.000000000000000000e+00 5.113600000000000263e-03 -5.416499999999999725e-06 -6.064600000000000347e-06 -5.416499999999999725e-06 1.289399999999999886e-07 -8.253900000000000211e-09 -6.064600000000000347e-06 -8.253900000000000211e-09 2.029700000000000167e-03
3.978900000000000214e-01 1.776309564999999785e-02 -2.181899999999999951e-01 0.000000000000000000e+00 5.873099999999999454e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.788599999999999746e-01 0.000000000000000000e+00 2.578499999999999889e-02 -6.283799999999999705e-05 -3.085599999999999731e-05 -6.283799999999999705e-05 3.091299999999999947e-06 -9.286200000000000131e-08 -3.085599999999999731e-05 -9.286200000000000131e-08 9.738099999999999534e-03
7.073000000000000398e-01 5.485758400000000090e-02 -2.102300000000000002e-01 0.000000000000000000e+00 5.867999999999999545e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.788400000000000101e-01 0.000000000000000000e+00 8.109600000000000142e-02 -3.609999999999999928e-04 -9.620099999999999593e-05 -3.609999999999999928e-04 2.816799999999999865e-05 -4.967399999999999866e-07 -9.620099999999999593e-05 -4.967399999999999866e-07 2.859099999999999836e-02
1.104999999999999982e+00 1.303032249999999947e-01 -2.021499999999999964e-01 0.000000000000000000e+00 5.857599999999999909e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.793699999999999850e-01 0.000000000000000000e+00 1.968300000000000050e-01 -1.407899999999999907e-03 -2.303399999999999935e-04 -1.407899999999999907e-03 1.494500000000000006e-04 -1.726799999999999925e-06 -2.303399999999999935e-04 -1.726799999999999925e-06 6.362700000000000300e-02
1.590999999999999970e+00 2.617695150000000082e-01 -1.940699999999999925e-01 0.000000000000000000e+00 5.835499999999999545e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.806899999999999729e-01 0.000000000000000000e+00 4.048200000000000132e-01 -4.272200000000000303e-03 -4.601200000000000060e-04 -4.272200000000000303e-03 5.590299999999999653e-04 -4.417099999999999603e-06 -4.601200000000000060e-04 -4.417099999999999603e-06 1.181600000000000011e-01
2.165200000000000014e+00 4.671720999999999790e-01 -1.854000000000000092e-01 0.000000000000000000e+00 5.791000000000000227e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.830299999999999816e-01 0.000000000000000000e+00 7.397899999999999476e-01 -1.080599999999999963e-02 -8.066800000000000489e-04 -1.080599999999999963e-02 1.634199999999999932e-03 -8.739600000000000146e-06 -8.066800000000000489e-04 -8.739600000000000146e-06 1.929200000000000081e-01
2.827500000000000124e+00 7.609924999999999606e-01 -1.754000000000000004e-01 0.000000000000000000e+00 5.708400000000000318e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.858500000000000263e-01 0.000000000000000000e+00 1.232099999999999973e+00 -2.366400000000000101e-02 -1.281000000000000021e-03 -2.366400000000000101e-02 3.975000000000000235e-03 -1.334900000000000043e-05 -1.281000000000000021e-03 -1.334900000000000043e-05 2.859099999999999975e-01
3.577799999999999869e+00 1.148608550000000061e+00 -1.640999999999999959e-01 0.000000000000000000e+00 5.569700000000000273e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.872599999999999931e-01 0.000000000000000000e+00 1.895699999999999941e+00 -4.592299999999999854e-02 -1.896899999999999975e-03 -4.592299999999999854e-02 8.387099999999999764e-03 -1.416400000000000025e-05 -1.896899999999999975e-03 -1.416400000000000025e-05 3.931299999999999795e-01
4.416000000000000369e+00 1.620588999999999835e+00 -1.527799999999999991e-01 0.000000000000000000e+00 5.359199999999999591e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.836200000000000165e-01 0.000000000000000000e+00 2.715700000000000003e+00 -8.024599999999999789e-02 -2.672799999999999915e-03 -8.024599999999999789e-02 1.580799999999999914e-02 -3.728299999999999947e-06 -2.672799999999999915e-03 -3.728299999999999947e-06 5.096699999999999564e-01
5.341899999999999871e+00 2.150465499999999697e+00 -1.434300000000000019e-01 0.000000000000000000e+00 5.069200000000000159e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.703799999999999870e-01 0.000000000000000000e+00 3.642799999999999816e+00 -1.279099999999999959e-01 -3.613499999999999959e-03 -1.279099999999999959e-01 2.720099999999999948e-02 2.765799999999999845e-05 -3.613499999999999959e-03 2.765799999999999845e-05 6.309299999999999908e-01
6.355500000000000149e+00 2.699088999999999849e+00 -1.374499999999999889e-01 0.000000000000000000e+00 4.704300000000000068e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.443800000000000194e-01 0.000000000000000000e+00 4.601399999999999935e+00 -1.881200000000000094e-01 -4.643000000000000425e-03 -1.881200000000000094e-01 4.344800000000000051e-02 8.819599999999999380e-05 -4.643000000000000425e-03 8.819599999999999380e-05 7.533300000000000551e-01
7.456500000000000128e+00 3.223825999999999858e+00 -1.348499999999999976e-01 0.000000000000000000e+00 4.281399999999999864e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.067400000000000126e-01 0.000000000000000000e+00 5.507900000000000240e+00 -2.580500000000000016e-01 -5.583699999999999601e-03 -2.580500000000000016e-01 6.526200000000000057e-02 1.798199999999999961e-04 -5.583699999999999601e-03 1.798199999999999961e-04 8.744899999999999896e-01
8.644899999999999807e+00 3.688763499999999862e+00 -1.343999999999999917e-01 0.000000000000000000e+00 3.825600000000000023e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.633800000000000030e-01 0.000000000000000000e+00 6.291500000000000092e+00 -3.335000000000000187e-01 -6.194100000000000127e-03 -3.335000000000000187e-01 9.312700000000000145e-02 2.954499999999999986e-04 -6.194100000000000127e-03 2.954499999999999986e-04 9.929000000000000048e-01
