# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
1.718689289004505794e-01 5.242759999999999955e-03 4.590539999999999843e+00 0.000000000000000000e+00 3.451890000000000214e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.862044492225237415e-03 -5.679342523864481164e-06 0.000000000000000000e+00 -5.679342523864481164e-06 1.503944653037008137e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.528024227450346561e-03
5.179036205479375932e-01 3.310389999999999860e-03 2.169519999999999893e+00 0.000000000000000000e+00 3.354060000000000059e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.285095790644043362e-02 -1.607312646539750620e-04 0.000000000000000000e+00 -1.607312646539750620e-04 1.149578101021455392e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.112829076001562431e-02
8.685651696303396951e-01 2.481380000000000044e-03 1.166199999999999903e+00 0.000000000000000000e+00 3.342479999999999905e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.477307555423405527e-01 -7.786532303500640290e-04 0.000000000000000000e+00 -7.786532303500640290e-04 8.135664337904635341e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.475892265408736914e-02
1.223913213964852087e+00 2.257009999999999832e-03 7.204000000000000403e-01 0.000000000000000000e+00 3.273879999999999768e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.915177961776784232e-01 -2.220861947767044289e-03 0.000000000000000000e+00 -2.220861947767044289e-03 2.870850507830115510e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.002935722911187377e-01
1.584011540086387893e+00 2.390569999999999848e-03 5.069860000000000477e-01 0.000000000000000000e+00 3.131940000000000168e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.847667971288793232e-01 -4.868101098151308807e-03 0.000000000000000000e+00 -4.868101098151308807e-03 7.212865480046735597e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.550980187673364763e-01
1.948922378760715723e+00 2.732549999999999823e-03 3.962280000000000246e-01 0.000000000000000000e+00 2.913709999999999809e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.271471768515390677e-01 -9.093302970104294794e-03 0.000000000000000000e+00 -9.093302970104294794e-03 1.481441883682089100e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.169602714164903245e-01
2.318713146650752233e+00 3.175009999999999812e-03 3.333820000000000117e-01 0.000000000000000000e+00 2.642029999999999745e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.017055479639030091e+00 -1.523060452610400239e-02 0.000000000000000000e+00 -1.523060452610400239e-02 2.661865778408121185e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.840326609817503400e-01
2.693446074522265921e+00 3.642199999999999951e-03 2.939769999999999883e-01 0.000000000000000000e+00 2.355300000000000011e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.351485267759668707e+00 -2.355346871538710127e-02 0.000000000000000000e+00 -2.355346871538710127e-02 4.350074717781392264e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.547921565267311839e-01
3.073188579038172996e+00 4.090260000000000076e-03 2.666720000000000201e-01 0.000000000000000000e+00 2.085740000000000123e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.725995922646362812e+00 -3.425711061471901908e-02 0.000000000000000000e+00 -3.425711061471901908e-02 6.623642315797373392e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.280009834708932703e-01
3.458002890964242848e+00 4.499959999999999898e-03 2.460739999999999872e-01 0.000000000000000000e+00 1.849230000000000018e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.134860360491286801e+00 -4.744663121407111106e-02 0.000000000000000000e+00 -4.744663121407111106e-02 9.548894517431570292e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.026629729327896090e-01
