# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
3.315855611883717496e-02 1.271380000000000099e-07 4.167080000000000090e-02 0.000000000000000000e+00 5.966120000000000090e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.926173837323054416e-04 -3.738331973468677572e-08 0.000000000000000000e+00 -3.738331973468677572e-08 1.889707154096499542e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.329684834912880328e-05
9.991879495586197812e-02 2.054050000000000119e-08 1.172080000000000040e-03 0.000000000000000000e+00 5.965729999999999933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.746378557524923833e-03 -1.029529698970277298e-06 0.000000000000000000e+00 -1.029529698970277298e-06 1.526363051267815414e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.439729085617171516e-04
1.675716902659969143e-01 1.898809999999999981e-08 3.676770000000000103e-04 0.000000000000000000e+00 5.965370000000000061e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.904687940417921076e-03 -4.887390556770469682e-06 0.000000000000000000e+00 -4.887390556770469682e-06 1.182466535685030488e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.057957154512593274e-03
2.361287479329460259e-01 5.171350000000000180e-08 4.727520000000000030e-04 0.000000000000000000e+00 5.965050000000000097e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.725185558638476530e-03 -1.376141713651567491e-05 0.000000000000000000e+00 -1.376141713651567491e-05 4.564523775047757136e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.018363053229246154e-03
3.056022742497145339e-01 1.301650000000000012e-07 6.752519999999999920e-04 0.000000000000000000e+00 5.964770000000000039e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.626766408151594789e-02 -3.001802645116345017e-05 0.000000000000000000e+00 -3.001802645116345017e-05 1.253683433593847493e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.617949096036390352e-03
3.760042753558197615e-01 2.760950000000000116e-07 9.107250000000000328e-04 0.000000000000000000e+00 5.964540000000000219e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.459398224476241554e-02 -5.625184240038889351e-05 0.000000000000000000e+00 -5.625184240038889351e-05 2.811496178325717628e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.849078869710356510e-03
4.473477579024053852e-01 5.159839999999999966e-07 1.167969999999999946e-03 0.000000000000000000e+00 5.964350000000000307e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.476818294939779119e-02 -9.529681181549348116e-05 0.000000000000000000e+00 -9.529681181549348116e-05 5.512044895799624333e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.370378356300865595e-02
5.196447280289887560e-01 8.802539999999999623e-07 1.443540000000000101e-03 0.000000000000000000e+00 5.964189999999999969e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.685617168935858612e-02 -1.502382490575948539e-04 0.000000000000000000e+00 -1.502382490575948539e-04 9.817105047905566085e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.817363690212517660e-02
5.929081923867134396e-01 1.403189999999999901e-06 1.735870000000000034e-03 0.000000000000000000e+00 5.964070000000000249e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.092592746473717708e-02 -2.244223741623249300e-04 0.000000000000000000e+00 -2.244223741623249300e-04 1.627227901553207290e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.324988042431321358e-02
6.671501571150969534e-01 2.123019999999999962e-06 2.044059999999999887e-03 0.000000000000000000e+00 5.963989999999999725e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.704703401967538667e-02 -3.214651188706092104e-04 0.000000000000000000e+00 -3.214651188706092104e-04 2.550616889610000631e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.892327680761897987e-02
7.423856298885357363e-01 3.082109999999999956e-06 2.367499999999999813e-03 0.000000000000000000e+00 5.963929999999999865e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.529141187579288907e-02 -4.452676444540000435e-04 0.000000000000000000e+00 -4.452676444540000435e-04 3.822947952357401560e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.518439455218515949e-02
8.186266168465470283e-01 4.327099999999999618e-06 2.705799999999999959e-03 0.000000000000000000e+00 5.963900000000000290e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.157319245180235684e-01 -6.000129528555936094e-04 0.000000000000000000e+00 -6.000129528555936094e-04 5.524247542684736971e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.202321077362974194e-02
8.958871251519012757e-01 5.909180000000000402e-06 3.058679999999999819e-03 0.000000000000000000e+00 5.963889999999999958e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.384432059634207457e-01 -7.901816542179471116e-04 0.000000000000000000e+00 -7.901816542179471116e-04 7.742736975783229237e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.942943183122627121e-02
9.741791609441154964e-01 7.884269999999999647e-06 3.425979999999999911e-03 0.000000000000000000e+00 5.963900000000000290e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.635003684821729475e-01 -1.020548112706184474e-03 0.000000000000000000e+00 -1.020548112706184474e-03 1.057487151188815015e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.739214442351014966e-02
